date,item,value
12/22/25,Item A,100
12/23/25,Item A,102
12/24/25,Item A,101
12/25/25,Item A,104
12/26/25,Item A,106
12/27/25,Item A,105
12/28/25,Item A,107
12/29/25,Item A,109
12/30/25,Item A,108
12/31/25,Item A,110
1/1/26,Item A,112
1/2/26,Item A,111
1/3/26,Item A,113
1/4/26,Item A,115
1/5/26,Item A,114
1/6/26,Item A,116
1/7/26,Item A,118
1/8/26,Item A,117
1/9/26,Item A,119
1/10/26,Item A,121
1/11/26,Item A,120
1/12/26,Item A,122
12/22/25,Item B,200
12/23/25,Item B,198
12/24/25,Item B,201
12/25/25,Item B,203
12/26/25,Item B,202
12/27/25,Item B,205
12/28/25,Item B,207
12/29/25,Item B,206
12/30/25,Item B,208
12/31/25,Item B,210
1/1/26,Item B,209
1/2/26,Item B,211
1/3/26,Item B,213
1/4/26,Item B,212
1/5/26,Item B,214
1/6/26,Item B,216
1/7/26,Item B,215
1/8/26,Item B,217
1/9/26,Item B,219
1/10/26,Item B,218
1/11/26,Item B,220
1/12/26,Item B,222
