participant_id,movie_title,rating
Participant 1,Puss in Boots: The Last Wish,5
Participant 1,The Wild Robot,5
Participant 1,Inside Out 2,5
Participant 1,Moana 2,5
Participant 1,Dog Man,3
Participant 1,The Super Mario Bros. Movie,4
Participant 2,Puss in Boots: The Last Wish,5
Participant 2,The Wild Robot,5
Participant 2,Inside Out 2,3
Participant 2,Moana 2,5
Participant 2,Dog Man,2
Participant 2,The Super Mario Bros. Movie,4
Participant 3,Puss in Boots: The Last Wish,3
Participant 3,The Wild Robot,2
Participant 3,Inside Out 2,1
Participant 3,Moana 2,2
Participant 3,Dog Man,5
Participant 3,The Super Mario Bros. Movie,5
Participant 4,Puss in Boots: The Last Wish,3
Participant 4,The Wild Robot,5
Participant 4,Inside Out 2,2
Participant 4,Moana 2,3
Participant 4,Dog Man,4
Participant 4,The Super Mario Bros. Movie,5
Participant 5,Puss in Boots: The Last Wish,5
Participant 5,The Wild Robot,4
Participant 5,Inside Out 2,1
Participant 5,Moana 2,1
Participant 5,Dog Man,1
Participant 5,The Super Mario Bros. Movie,5
Participant 6,Puss in Boots: The Last Wish,5
Participant 6,The Wild Robot,5
Participant 6,Inside Out 2,3
Participant 6,Moana 2,3
Participant 6,Dog Man,2
Participant 6,The Super Mario Bros. Movie,5
